Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
1,7,0,28,37,25,14,7,1
3,2,31,6,40,27,2,6,1
13,8,32,24,14,43,7,13,1
2,0,31,20,19,9,15,8,1
7,4,10,6,24,2,1,14,1
7,9,3,16,19,6,6,4,1
10,4,22,22,9,29,0,6,1
1,3,29,12,22,36,20,18,1
4,5,24,28,4,28,32,24,1
18,4,13,3,49,8,2,7,1
10,3,27,16,8,3,16,11,1
3,1,35,3,26,18,14,30,1
14,2,6,4,11,32,13,3,1
3,17,1,1,25,42,11,27,1
12,15,12,13,13,35,21,4,1
5,11,22,38,23,12,3,21,1
8,19,59,57,13,27,13,12,1
3,1,3,2,6,28,4,16,1
18,0,10,11,9,27,11,0,1
3,0,2,3,12,31,10,9,1
1,7,20,17,3,1,9,17,1
1,11,28,29,6,6,3,5,1
24,7,13,10,3,23,11,20,1
8,5,8,13,13,10,9,10,1
13,2,22,26,32,10,5,9,1
5,1,18,20,32,64,7,17,1
24,15,7,4,22,54,1,33,1
26,1,63,43,18,8,15,9,1
2,12,9,14,9,2,38,19,1
8,1,25,8,30,13,1,5,1
29,7,18,2,22,38,3,10,1
4,0,28,24,31,54,21,2,1
26,8,25,27,12,13,22,40,1
10,13,26,12,31,8,5,14,1
27,2,2,10,22,35,2,13,1
3,8,18,1,27,33,5,4,1
7,4,3,7,21,1,24,19,1
17,6,50,5,22,47,8,43,1
20,19,26,19,26,6,30,14,1
24,9,4,10,11,33,12,38,1
26,5,9,2,21,11,13,14,1
16,6,2,23,14,14,17,5,1
11,9,16,14,3,8,7,40,1
2,4,24,5,20,21,8,17,1
2,1,16,23,9,6,18,1,1
24,13,12,21,11,21,5,20,1
26,5,27,27,13,7,22,34,1
29,3,23,10,3,50,29,43,1
24,17,44,1,15,38,14,1,1
12,1,9,36,22,6,1,22,1
28,12,16,34,11,13,1,32,1
3,24,50,13,0,9,9,44,1
16,17,15,10,13,30,23,32,1
9,3,7,2,7,34,21,22,1
13,10,22,26,8,14,14,26,1
44,14,76,10,11,17,24,33,1
19,2,28,3,9,8,14,34,1
6,8,13,24,23,21,2,8,1
5,5,4,12,3,13,2,1,1
13,9,4,6,4,28,8,9,1
13,6,21,10,12,3,10,42,1
40,18,36,36,4,24,32,65,1
22,13,16,22,13,14,3,9,1
15,7,35,10,5,5,11,11,1
21,3,19,22,2,2,17,27,1
31,15,51,5,7,23,30,16,1
14,5,8,22,16,13,23,9,1
8,5,29,20,3,6,5,4,1
10,4,2,9,1,4,11,2,1
6,5,5,2,5,25,17,1,1
17,5,18,18,6,41,17,19,1
40,13,18,8,17,87,36,55,1
9,5,9,12,18,3,8,7,1
5,4,4,8,2,25,14,18,1
17,6,20,17,9,17,9,1,1
7,0,15,1,2,12,0,21,1
3,7,11,21,8,15,6,23,1
5,1,14,5,13,5,9,3,1
6,11,33,20,10,28,3,1,1
5,13,13,17,8,62,2,1,1
10,3,0,4,9,9,3,16,1
5,5,19,9,11,10,1,10,1
